station_cd,station_g_cd,station_name,station_name_en,station_name_k,station_name_r,line_cd,pref_cd,post,address,address_en,lon,lat,open_ymd,close_ymd,e_status,e_sort,postcode,city_en,prefecture
1110201,1110138,長万部,Oshamanbe,,,11102,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,0000-00-00,0000-00-00,0,1110201,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110201,1110138,長万部,Oshamanbe,,,11102,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,0000-00-00,0000-00-00,0,1110201,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110201,1110138,長万部,Oshamanbe,,,11102,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,0000-00-00,0000-00-00,0,1110201,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110201,1110138,長万部,Oshamanbe,,,11102,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,0000-00-00,0000-00-00,0,1110201,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110201,1110138,長万部,Oshamanbe,,,11102,1,493521,山越郡長万部町字長万部,Yamakoshi gun Oshamanbe chou ji Oshamanbe,140.37507,42.512477,0000-00-00,0000-00-00,0,1110201,493521,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110202,1110202,二股,Futamata,,,11102,1,493501,山越郡長万部町字双葉,Yamakoshi gun Oshamanbe chou ji futaba,140.320821,42.575869,0000-00-00,0000-00-00,0,1110202,493501,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110202,1110202,二股,Futamata,,,11102,1,493501,山越郡長万部町字双葉,Yamakoshi gun Oshamanbe chou ji futaba,140.320821,42.575869,0000-00-00,0000-00-00,0,1110202,493501,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110203,1110203,蕨岱,Warabitai,,,11102,1,493503,山越郡長万部町字蕨岱,Yamakoshi gun Oshamanbe chou ji Warabitai,140.313353,42.626353,1904-10-15,2017-03-04,2,1110203,493503,Yamakoshi gun Oshamanbe machi,Hokkaidou
1110204,1110204,黒松内,Kuromatsunai,,,11102,1,480101,寿都郡黒松内町字黒松内,Suttsu gun Kuromatsunai chou ji Kuromatsunai,140.305704,42.669608,0000-00-00,0000-00-00,0,1110204,480101,Suttsu gun Kuromatsunai machi,Hokkaidou
1110205,1110205,熱郛,Netsu ?,,,11102,1,480134,寿都郡黒松内町字白井川,Suttsu gun Kuromatsunai chou ji Shiroi kawa,140.375084,42.675653,0000-00-00,0000-00-00,0,1110205,480134,Suttsu gun Kuromatsunai machi,Hokkaidou
1110206,1110206,目名,Mokumei,,,11102,1,481261,磯谷郡蘭越町目名町,Isoya gun Rankoshi chou mokumei chou,140.465742,42.761432,0000-00-00,0000-00-00,0,1110206,481261,Isoya gun Rankoshi machi,Hokkaidou
1110207,1110207,蘭越,Rankoshi,,,11102,1,481301,磯谷郡蘭越町蘭越町,Isoya gun Rankoshi chou Rankoshi machi,140.52894,42.804542,0000-00-00,0000-00-00,0,1110207,481301,Isoya gun Rankoshi machi,Hokkaidou
1110208,1110208,昆布,Konbu,,,11102,1,481302,磯谷郡蘭越町昆布町,Isoya gun Rankoshi chou konbu chou,140.596107,42.797984,0000-00-00,0000-00-00,0,1110208,481302,Isoya gun Rankoshi machi,Hokkaidou
1110209,1110209,ニセコ,Niseko,,,11102,1,481512,虻田郡ニセコ町字中央通,Abuta gun Niseko chou ji Chuuou toori,140.684588,42.808746,0000-00-00,0000-00-00,0,1110209,481512,Abuta gun Niseko machi,Hokkaidou
1110210,1110210,比羅夫,Hirafu,,,11102,1,440077,虻田郡倶知安町比羅夫,Abuta gun Kutchan chou Hirafu,140.722615,42.84856,0000-00-00,0000-00-00,0,1110210,440077,Abuta gun Kutchan machi,Hokkaidou
1110211,1110211,倶知安,Kutchan,,,11102,1,440051,虻田郡倶知安町北三条西４丁目,Abuta gun Kutchan chou hoku Sanjou nishi 4 choume,140.745471,42.90164,0000-00-00,0000-00-00,0,1110211,440051,Abuta gun Kutchan machi,Hokkaidou
1110212,1110212,小沢,Ozawa,,,11102,1,482142,岩内郡共和町小沢,Iwanai gun kyouwa chou Ozawa,140.677657,42.97185,0000-00-00,0000-00-00,0,1110212,482142,Iwanai gun kyouwa chou,Hokkaidou
1110213,1110213,銀山,Ginzan,,,11102,1,482335,余市郡仁木町銀山２丁目,Yoichi gun Niki chou ginzan 2 choume,140.715321,43.040888,0000-00-00,0000-00-00,0,1110213,482335,Yoichi gun Niki machi,Hokkaidou
1110214,1110214,然別,Sa betsu,,,11102,1,482403,余市郡仁木町然別,Yoichi gun Niki chouzen betsu,140.737211,43.12551,0000-00-00,0000-00-00,0,1110214,482403,Yoichi gun Niki machi,Hokkaidou
1110215,1110215,仁木,Niki,,,11102,1,482405,余市郡仁木町字北町１丁目,Yoichi gun Niki chou ji Kitamachi 1 choume,140.770546,43.154091,0000-00-00,0000-00-00,0,1110215,482405,Yoichi gun Niki machi,Hokkaidou
1110216,1110216,余市,Yoichi,,,11102,1,460003,余市郡余市町黒川町５丁目,Yoichi gun Yoichi chou Kurokawa chou 5 choume,140.794686,43.186558,0000-00-00,0000-00-00,0,1110216,460003,Yoichi gun Yoichi machi,Hokkaidou
1110217,1110217,蘭島,Olandatou,,,11102,1,482562,小樽市蘭島１丁目,Otaru shi Olandatou 1 choume,140.854643,43.19651,0000-00-00,0000-00-00,0,1110217,482562,Otaru shi,Hokkaidou
1110218,1110218,塩谷,Shiotani,,,11102,1,482672,小樽市塩谷２丁目,Otaru shi Shioya 2 choume,140.924546,43.202406,0000-00-00,0000-00-00,0,1110218,482672,Otaru shi,Hokkaidou
1110219,1110219,小樽,Otaru,,,11102,1,470032,小樽市稲穂２丁目,Otaru shi inaho 2 choume,140.993653,43.197172,0000-00-00,0000-00-00,0,1110219,470032,Otaru shi,Hokkaidou
1110301,1110219,小樽,Otaru,,,11103,1,470032,小樽市稲穂２丁目,Otaru shi inaho 2 choume,140.993653,43.197172,0000-00-00,0000-00-00,0,1110301,470032,Otaru shi,Hokkaidou
1110302,1110302,南小樽,Minami Otaru,,,11103,1,470015,小樽市住吉町,Otaru shi Sumiyoshi machi,141.007883,43.186529,0000-00-00,0000-00-00,0,1110302,470015,Otaru shi,Hokkaidou
1110303,1110303,小樽築港,Otaru chikkou,,,11103,1,470008,小樽市築港,Otaru shi chikkou,141.029051,43.180752,0000-00-00,0000-00-00,0,1110303,470008,Otaru shi,Hokkaidou
1110304,1110304,朝里,Asa sato,,,11103,1,470151,小樽市朝里１丁目,Otaru shi asa sato 1 choume,141.063923,43.176868,0000-00-00,0000-00-00,0,1110304,470151,Otaru shi,Hokkaidou
1110305,1110305,銭函,Sen bako,,,11103,1,470261,小樽市銭函２丁目,Otaru shi sen bako 2 choume,141.159868,43.143403,0000-00-00,0000-00-00,0,1110305,470261,Otaru shi,Hokkaidou
1110306,1110306,ほしみ,Ho shimi,,,11103,1,60859,札幌市手稲区手稲星置１条９丁目,Sapporo shi Teine ku Teine hoshi oke 1 jou 9 choume,141.191402,43.13373,0000-00-00,0000-00-00,0,1110306,60859,Sapporo shi Teine ku,Hokkaidou
1110307,1110307,星置,Hoshi oke,,,11103,1,60851,札幌市手稲区星置１条３丁目,Sapporo shi Teine kusei oke 1 jou 3 choume,141.210856,43.132375,0000-00-00,0000-00-00,0,1110307,60851,Sapporo shi Teine ku,Hokkaidou
1110308,1110308,稲穂,Inaho,,,11103,1,60831,札幌市手稲区曙１条３丁目,Sapporo shi Teine ku akebono 1 jou 3 choume,141.222919,43.128115,0000-00-00,0000-00-00,0,1110308,60831,Sapporo shi Teine ku,Hokkaidou
1110309,1110309,手稲,Teine,,,11103,1,60021,札幌市手稲区手稲本町１条４丁目,Sapporo shi Teine ku Teine Honchou 1 jou 4 choume,141.243785,43.120238,0000-00-00,0000-00-00,0,1110309,60021,Sapporo shi Teine ku,Hokkaidou
1110310,1110310,稲積公園,Inazumi kouen,,,11103,1,60011,札幌市手稲区富丘１条４丁目,Sapporo shi Teine ku Tomioka 1 jou 4 choume,141.257113,43.112023,0000-00-00,0000-00-00,0,1110310,60011,Sapporo shi Teine ku,Hokkaidou
1110311,1110311,発寒,Hassamu,,,11103,1,630829,札幌市西区発寒９条１３丁目,Sapporo shi Nishi ku Hassamu 9 jou 13 choume,141.277273,43.099819,0000-00-00,0000-00-00,0,1110311,630829,Sapporo shi Nishi ku,Hokkaidou
1110312,1110312,発寒中央,Hassamu chuuou,,,11103,1,630826,札幌市西区発寒十条３丁目,Sapporo shi Nishi ku Hassamu Juujou 3 choume,141.294497,43.089271,0000-00-00,0000-00-00,0,1110312,630826,Sapporo shi Nishi ku,Hokkaidou
1110313,1110313,琴似,Kotoni,,,11103,1,630812,札幌市西区琴似2条2丁目,Sapporo shi Nishi ku Kotoni 2 jou 2 choume,141.307418,43.081599,0000-00-00,0000-00-00,0,1110313,630812,Sapporo shi Nishi ku,Hokkaidou
1110314,1110314,桑園,Souen,,,11103,1,600011,札幌市中央区北１１条西１５丁目,Sapporo shi Chuuou ku kita 11 jou nishi 15 choume,141.332036,43.070744,0000-00-00,0000-00-00,0,1110314,600011,Sapporo shi Chuuou ku,Hokkaidou
1110315,1110315,札幌,Sapporo,,,11103,1,600806,札幌市北区北６条西４丁目,Sapporo shi Kita ku kita 6 jou nishi 4 choume,141.350768,43.068612,0000-00-00,0000-00-00,0,1110315,600806,Sapporo shi Kita ku,Hokkaidou
1110316,1110316,苗穂,Naebo,,,11103,1,600033,札幌市中央区北３条東１３丁目,Sapporo shi Chuuou ku kita 3 jou higashi 13 choume,141.377522,43.068574,0000-00-00,0000-00-00,0,1110316,600033,Sapporo shi Chuuou ku,Hokkaidou
1110317,1110317,白石,Shiraishi,,,11103,1,30029,札幌市白石区平和通3丁目北6,Sapporo shi Shiraishi ku heiwa tsuu 3 choume kita 6,141.413612,43.054715,1903-04-21,0000-00-00,0,1110317,30029,Sapporo shi Shiraishi ku,Hokkaidou
1110318,1110318,厚別,Atsubetsu,,,11103,1,40055,札幌市厚別区厚別中央５条４丁目,Sapporo shi Atsubetsu ku Atsubetsu chuuou 5 jou 4 choume,141.46369,43.045154,0000-00-00,0000-00-00,0,1110318,40055,Sapporo shi Atsubetsu ku,Hokkaidou
1110319,1110319,森林公園,Shinrin kouen,,,11103,1,40071,札幌市厚別区厚別北１条４丁目,Sapporo shi Atsubetsu ku Atsubetsu kita 1 jou 4 choume,141.481332,43.056456,0000-00-00,0000-00-00,0,1110319,40071,Sapporo shi Atsubetsu ku,Hokkaidou
1110320,1110320,大麻,Taima,,,11103,1,690854,江別市大麻中町,Ebetsu shi taima Nakachou,141.496925,43.072382,0000-00-00,0000-00-00,0,1110320,690854,Ebetsu shi,Hokkaidou
1110321,1110321,野幌,Nopporo,,,11103,1,690813,江別市野幌町,Ebetsu shi Nopporo machi,141.52984,43.092559,0000-00-00,0000-00-00,0,1110321,690813,Ebetsu shi,Hokkaidou
1110322,1110322,高砂,Takasago,,,11103,1,670074,江別市高砂町,Ebetsu shi Takasagochou,141.540752,43.100084,0000-00-00,0000-00-00,0,1110322,670074,Ebetsu shi,Hokkaidou
1110323,1110323,江別,Ebetsu,,,11103,1,670071,江別市萩ケ岡,Ebetsu shi Hagi ke oka,141.55679,43.110189,0000-00-00,0000-00-00,0,1110323,670071,Ebetsu shi,Hokkaidou
1110324,1110324,豊幌,Yutaka horo,,,11103,1,670021,江別市豊幌,Ebetsu shi Yutaka horo,141.62466,43.136446,0000-00-00,0000-00-00,0,1110324,670021,Ebetsu shi,Hokkaidou
1110325,1110325,幌向,Horomui,,,11103,1,690371,岩見沢市幌向南１条３丁目,Iwamizawa shi Horomui minami 1 jou 3 choume,141.655839,43.151348,0000-00-00,0000-00-00,0,1110325,690371,Iwamizawa shi,Hokkaidou
1110326,1110326,上幌向,Ue Horomui,,,11103,1,690362,岩見沢市上幌向南１条４丁目,Iwamizawa shijou Horomui minami 1 jou 4 choume,141.715391,43.18183,0000-00-00,0000-00-00,0,1110326,690362,Iwamizawa shi,Hokkaidou
1110327,1110327,岩見沢,Iwamizawa,,,11103,1,680034,岩見沢市有明町南,Iwamizawa shi Ariake machi minami,141.759359,43.204201,0000-00-00,0000-00-00,0,1110327,680034,Iwamizawa shi,Hokkaidou
1110328,1110328,峰延,Mine nobe,,,11103,1,720000,美唄市峰延,Bibai shi Mine nobe,141.814673,43.264694,0000-00-00,0000-00-00,0,1110328,720000,Bibai shi,Hokkaidou
1110329,1110329,光珠内,Hikari tamanai,,,11103,1,720000,美唄市光珠内,Bibai shi Hikari tamanai,141.844655,43.292658,0000-00-00,0000-00-00,0,1110329,720000,Bibai shi,Hokkaidou
1110330,1110330,美唄,Bibai,,,11103,1,720012,美唄市東一条南２丁目,Bibai shi higashi Ichijou minami 2 choume,141.862157,43.330751,0000-00-00,0000-00-00,0,1110330,720012,Bibai shi,Hokkaidou
1110331,1110331,茶志内,Chashinai,,,11103,1,790261,美唄市茶志内町,Bibai shi Chashinai machi,141.87336,43.369842,0000-00-00,0000-00-00,0,1110331,790261,Bibai shi,Hokkaidou
1110332,1110332,奈井江,Naie,,,11103,1,790313,空知郡奈井江町本町１区,Sorachi gun Naie chou Honchou 1 ku,141.889115,43.423718,0000-00-00,0000-00-00,0,1110332,790313,Sorachi gun Naie machi,Hokkaidou
1110333,1110333,豊沼,Yutaka numa,,,11103,1,730138,砂川市豊沼町,Sunagawa shi Yutaka numa machi,141.901032,43.464224,0000-00-00,0000-00-00,0,1110333,730138,Sunagawa shi,Hokkaidou
1110334,1110334,砂川,Sunagawa,,,11103,1,730152,砂川市東２条北２丁目,Sunagawa shi higashi 2 jou kita 2 choume,141.909642,43.493468,0000-00-00,0000-00-00,0,1110334,730152,Sunagawa shi,Hokkaidou
1110335,1110335,滝川,Takigawa,,,11103,1,730031,滝川市栄町４丁目,Takigawa shi Sakaechou 4 choume,141.900807,43.555278,0000-00-00,0000-00-00,0,1110335,730031,Takigawa shi,Hokkaidou
